,0
314,5
315,5
316,5
317,6
318,6
319,6
320,6
321,6
322,6
323,5
324,6
325,6
326,5
327,5
328,6
329,5
330,6
331,7
332,7
333,5
334,6
335,6
336,5
337,5
338,7
339,6
340,6
341,5
342,7
343,6
344,6
345,6
346,5
347,4
348,7
349,4
350,5
351,6
352,6
353,6
354,6
355,7
356,6
357,7
358,6
359,5
360,5
361,6
362,4
363,5
364,7
365,6
366,6
367,6
368,5
369,6
370,5
371,5
372,5
373,6
374,6
375,6
376,6
377,6
378,5
379,5
380,6
381,5
382,7
383,5
384,5
385,5
386,5
387,5
388,5
389,4
390,5
391,5
392,6
393,5
394,5
395,5
396,4
397,6
398,7
399,5
400,5
401,5
402,7
403,8
404,5
405,5
406,5
407,6
408,6
409,6
410,6
411,5
412,7
413,7
414,5
415,7
416,5
417,7
418,5
419,5
420,5
421,6
422,5
423,7
424,5
425,6
426,6
427,6
428,5
429,5
430,7
431,6
432,6
433,6
434,6
435,5
436,6
437,7
438,5
439,6
440,6
441,7
442,6
443,6
444,5
445,7
446,6
447,6
448,6
449,6
450,4
451,5
452,5
453,6
454,5
455,5
456,6
457,7
458,6
459,4
460,5
461,5
462,5
463,5
464,5
465,6
466,5
467,6
468,7
469,5
470,6
471,5
472,5
473,4
474,6
475,5
476,5
477,6
478,6
479,5
480,7
481,6
482,6
483,5
484,5
485,5
486,6
487,5
488,5
489,6
490,5
491,6
492,6
493,6
494,5
495,6
496,6
497,5
498,6
499,6
500,5
501,5
502,6
503,5
504,6
505,6
506,5
507,6
508,6
509,5
510,6
511,5
512,4
513,4
514,6
515,5
516,7
517,6
518,5
519,6
520,6
521,5
522,5
523,6
524,4
525,6
526,3
527,7
528,5
529,5
530,5
531,6
532,5
533,8
534,6
535,6
536,5
537,6
538,6
539,5
540,5
541,6
542,6
543,8
544,7
545,5
546,5
547,4
548,6
549,6
550,5
551,6
552,5
553,5
554,6
555,5
556,7
557,6
558,5
559,6
560,6
561,5
562,6
563,8
564,4
565,5
566,5
567,6
568,3
569,7
570,4
571,6
572,5
573,5
574,6
575,6
576,5
577,5
578,5
579,5
580,6
581,6
582,6
583,5
584,5
585,6
586,6
587,7
588,5
589,6
590,5
591,5
592,6
593,5
594,5
595,6
596,5
597,6
598,7
599,5
600,6
601,5
602,6
603,6
604,6
605,5
606,6
607,5
608,7
609,6
610,6
611,6
612,5
613,7
614,7
615,7
616,5
617,4
618,6
619,5
620,6
621,5
622,5
623,6
624,5
625,6
626,6
627,6
628,5
629,7
630,5
631,5
632,4
633,6
634,6
635,5
636,7
637,5
638,6
639,7
640,6
641,5
642,6
643,7
644,5
645,6
646,6
647,6
648,6
649,6
650,6
651,7
652,5
653,6
654,5
655,5
656,6
657,7
658,5
659,5
660,5
661,6
662,4
663,5
664,6
665,5
666,6
667,5
668,5
669,5
670,6
671,6
672,5
673,7
674,5
675,5
676,6
677,6
678,5
679,5
680,5
681,5
682,5
683,6
684,5
685,5
686,5
687,5
688,5
689,5
690,6
691,6
692,7
693,5
694,5
695,6
696,6
697,7
698,4
699,6
700,6
701,6
702,5
703,5
704,5
705,6
706,7
707,5
708,6
709,5
710,5
711,5
712,6
713,5
714,5
715,5
716,6
717,6
718,5
719,5
720,5
721,6
722,5
723,7
724,6
725,5
726,5
727,5
728,5
729,6
730,5
731,6
732,6
733,6
734,6
735,6
736,5
737,6
738,7
739,6
740,7
741,6
742,5
743,5
744,6
745,6
746,4
747,7
748,5
749,6
750,5
751,5
752,7
753,6
754,5
755,6
756,5
757,5
758,4
759,6
760,4
761,5
762,6
763,6
764,5
765,6
766,6
767,4
768,5
769,6
770,8
771,6
772,5
773,8
774,4
775,6
776,6
777,6
778,6
779,6
780,5
781,5
782,5
783,5
784,5
785,5
786,6
787,5
788,5
789,5
790,6
791,5
792,6
793,6
794,6
795,6
796,6
797,6
798,6
799,6
800,5
801,5
802,5
803,6
804,3
805,6
806,6
807,6
808,5
809,6
810,6
811,6
812,6
813,6
814,5
815,5
816,6
817,6
818,5
819,5
820,6
821,6
822,6
823,5
824,7
825,5
826,6
827,6
828,5
829,5
830,5
831,5
832,5
833,5
834,7
835,6
836,6
837,3
838,7
839,6
840,6
841,5
842,5
843,5
844,6
845,5
846,6
847,5
848,5
849,5
850,7
851,6
852,6
853,6
854,6
855,5
856,7
857,5
858,5
859,5
860,5
861,5
862,5
863,6
864,6
865,5
866,4
867,6
868,5
869,5
870,6
871,7
872,6
873,5
874,5
875,5
876,7
877,4
878,4
879,7
880,5
881,5
882,6
883,6
884,7
885,6
886,5
887,6
888,5
889,6
890,5
891,5
892,6
893,4
894,6
895,5
896,4
897,5
898,6
899,5
900,5
901,5
902,6
903,6
904,8
905,5
906,5
907,7
908,7
909,5
910,5
911,6
912,6
913,6
914,5
915,6
916,6
917,6
918,6
919,6
920,6
921,5
922,6
923,6
924,7
925,5
926,7
927,5
928,7
929,6
930,5
931,6
932,6
933,6
934,5
935,6
936,7
937,6
938,6
939,6
940,7
941,4
942,5
943,5
944,5
945,5
946,5
947,5
948,6
949,6
950,7
951,5
952,5
953,6
954,6
955,7
956,6
957,8
958,4
